127.0.0.1 - - [25/May/2021:12:36:46 +0200] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [25/May/2021:12:36:49 +0200] "GET / HTTP/1.1" 200 572
127.0.0.1 - - [25/May/2021:12:36:53 +0200] "GET /favicon.ico HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:04 +0200] "GET / HTTP/1.1" 200 6873
127.0.0.1 - - [25/May/2021:12:37:04 +0200] "GET /css/font-awesome/font-awesome.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:04 +0200] "GET /css/datatable.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:04 +0200] "GET /css/ionicons/ionicons.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:04 +0200] "GET /css/flag-icon.min.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:04 +0200] "GET /css/jquery.dataTables.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:04 +0200] "GET /css/slim.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:05 +0200] "GET /css/jquery-ui.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:05 +0200] "GET /css/select2.min.css HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:37:05 +0200] "GET /favicon.ico HTTP/1.1" 404 299
127.0.0.1 - - [25/May/2021:12:40:10 +0200] "GET / HTTP/1.1" 200 6873
127.0.0.1 - - [25/May/2021:12:40:11 +0200] "GET /css/datatable.css HTTP/1.1" 200 10426
127.0.0.1 - - [25/May/2021:12:40:11 +0200] "GET /css/ionicons/ionicons.css HTTP/1.1" 200 58683
127.0.0.1 - - [25/May/2021:12:40:11 +0200] "GET /css/flag-icon.min.css HTTP/1.1" 200 33688
127.0.0.1 - - [25/May/2021:12:40:11 +0200] "GET /css/slim.css HTTP/1.1" 200 1054110
127.0.0.1 - - [25/May/2021:12:40:11 +0200] "GET /css/jquery.dataTables.css HTTP/1.1" 200 16248
